id,email_address,first_name,last_name,address,city,county_name,state,zip,website_source,phone_number,gender,dob,registration_date,valid,extra,email_id,ethnicity,ownrent,domain,main_interest,sub_interest,latitude,longitude,uploaded,country,websource_id,interest_ids,DNC,source,first_name_norm,last_name_norm,zip_norm,first_name_cleaning_candidate,last_name_cleaning_candidate,name_cleaning_candidate,email_blank,email_syntax_failure,proposed_email_export_eligible,zip_state_assessable,geography_mismatch_candidate
1,james.smith1@example.com,James,Smith,101 Main Street,Los Angeles,Los Angeles,CA,90001,https://example.com/customer/1,+1-555-1001,M,1960-02-07,2020-01-18,1,,email-1,Unknown,Own,example.com,Technology,Software,30.01,-119.99,2026-01-01,US,web-1,1,0,synthetic_e2e,james,smith,90001,0,0,0,0,0,1,0,0
2,maria.johnson2@example.com,Maria,Johnson,102 Main Street,New York,New York,NY,10001,https://example.com/customer/2,+1-555-1002,F,1960-03-15,2020-02-04,1,,email-2,Unknown,Own,example.com,Technology,Software,30.02,-119.98,2026-01-01,US,web-2,2,0,synthetic_e2e,maria,johnson,10001,0,0,0,0,0,1,0,0
3,john.williams3@example.com,John,Williams,103 Main Street,Houston,Harris,TX,77001,https://example.com/customer/3,+1-555-1003,M,1960-04-21,2020-02-21,1,,email-3,Unknown,Rent,example.com,Technology,Software,30.03,-119.97,2026-01-01,US,web-3,3,0,synthetic_e2e,john,williams,77001,0,0,0,0,0,1,0,0
4,linda.brown4@example.com,Linda,Brown,104 Main Street,Miami,Miami-Dade,FL,33101,https://example.com/customer/4,+1-555-1004,F,1960-05-28,2020-03-09,1,,email-4,Unknown,Own,example.com,Technology,Software,30.04,-119.96,2026-01-01,US,web-4,4,0,synthetic_e2e,linda,brown,33101,0,0,0,0,0,1,0,0
5,robert.jones5@example.com,Robert,Jones,105 Main Street,Chicago,Cook,IL,60601,https://example.com/customer/5,+1-555-1005,M,1960-07-04,2020-03-26,1,,email-5,Unknown,Own,example.com,Technology,Software,30.05,-119.95,2026-01-01,US,web-5,5,0,synthetic_e2e,robert,jones,60601,0,0,0,0,0,1,0,0
6,patricia.garcia6@example.com,Patricia,Garcia,106 Main Street,Seattle,King,WA,98101,https://example.com/customer/6,+1-555-1006,F,1960-08-10,2020-04-12,1,,email-6,Unknown,Rent,example.com,Technology,Software,30.06,-119.94,2026-01-01,US,web-6,6,0,synthetic_e2e,patricia,garcia,98101,0,0,0,0,0,1,0,0
7,michael.miller7@example.com,Michael,Miller,107 Main Street,Phoenix,Maricopa,AZ,85001,https://example.com/customer/7,+1-555-1007,M,1960-09-16,2020-04-29,1,,email-7,Unknown,Own,example.com,Technology,Software,30.07,-119.93,2026-01-01,US,web-7,7,0,synthetic_e2e,michael,miller,85001,0,0,0,0,0,1,0,0
8,jennifer.davis8@example.com,Jennifer,Davis,108 Main Street,Denver,Denver,CO,80201,https://example.com/customer/8,+1-555-1008,F,1960-10-23,2020-05-16,1,,email-8,Unknown,Own,example.com,Technology,Software,30.08,-119.92,2026-01-01,US,web-8,8,0,synthetic_e2e,jennifer,davis,80201,0,0,0,0,0,1,0,0
9,david.wilson9@example.com,David,Wilson,109 Main Street,Boston,Suffolk,MA,2108,https://example.com/customer/9,+1-555-1009,M,1960-11-29,2020-06-02,1,,email-9,Unknown,Rent,example.com,Technology,Software,30.09,-119.91,2026-01-01,US,web-9,9,0,synthetic_e2e,david,wilson,2108,0,0,0,0,0,1,0,0
10,elizabeth.taylor10@example.com,Elizabeth,Taylor,110 Main Street,Atlanta,Fulton,GA,30301,https://example.com/customer/10,+1-555-1010,F,1961-01-05,2020-06-19,1,,email-10,Unknown,Own,example.com,Technology,Software,30.1,-119.9,2026-01-01,US,web-10,10,0,synthetic_e2e,elizabeth,taylor,30301,0,0,0,0,0,1,0,0
