id,name,email,phone,website,zip,date
1,Alice,bademail,,https://www.github.com,90210,2026/13/40
2,Alice,user2@example.com,061234,http://google.com,90210,01-01-2026
3,John,test@mail.com,,https://openai.com,90210,2026-02-30
4,,user4@example.com,,http://amazon.com,12,2026-02-30
5,Lina,user5@example.com,061234,https://www.github.com,ABCDE,
6,Sara,user6@example.com,+212676444568,https://openai.com,90210,2026-02-30
7,John123,user7@example.com,+212615792363,http://google.com,90210,2026-02-30
8,Alice,user8@example.com,+212619789366,http://amazon.com,12,2026-08-01
9,Lina,bademail,+21266123,https://google.com,90210,01-01-2026
10,Bob,bademail,+21266123,,,2026/13/40
11,Bob,user11@example.com,,https://openai.com,,2026/13/40
12,Alice,,123,http://google.com,10000,
13,@@Mike,bademail,061234,http://amazon.com,ABCDE,
14,John,user14@example.com,+212647111535,htp:/bad,12,2026/13/40
15,Lina,bademail,,https://www.github.com,10000,01-01-2026
16,Alice,,,https://openai.com,90210,
17,John123,user17@example.com,,,,2026-08-01
18,Bob,test@mail.com,123,https://google.com,,2026-02-30
19,Lina,foo@@bar,123,https://google.com,90210,2026-02-30
20,,user20@example.com,061234,htp:/bad,ABCDE,2026/13/40
21,Mike,user21@example.com,+21266123,https://openai.com,90210,01-01-2026
22,Sara,bademail,+21266123,http://amazon.com,,01-01-2026
23,Sara,,,https://www.github.com,12,01-01-2026
24,Lina,test@mail.com,+212674304352,,10000,01-01-2026
25,John123,user25@example.com,123,https://www.github.com,,2026/13/40
26,Lina,test@mail.com,123,,12,2026-08-01
27,Lina,test@mail.com,123,htp:/bad,,2026-08-01
28,,test@mail.com,123,,,
29,Mike,user29@example.com,,http://amazon.com,90210,2026-08-01
30,,bademail,,https://google.com,12,
31,John,foo@@bar,123,https://google.com,12,01-01-2026
32,Mike,user32@example.com,061234,htp:/bad,,
33,Sara,test@mail.com,123,https://www.github.com,ABCDE,2026-08-01
34,Alice,user34@example.com,,https://google.com,90210,2026/13/40
35,Lina,foo@@bar,123,,ABCDE,
36,John123,user36@example.com,123,,10000,01-01-2026
37,Alice,test@mail.com,123,http://amazon.com,12,2026-08-01
38,John123,user38@example.com,+212678073484,https://openai.com,10000,2026-02-30
39,,foo@@bar,061234,http://amazon.com,ABCDE,
40,Bob,user40@example.com,123,htp:/bad,ABCDE,2026/13/40
41,John123,,123,,12,2026-08-01
42,Sara,test@mail.com,,https://www.github.com,10000,2026/13/40
43,,foo@@bar,+21266123,http://google.com,12,01-01-2026
44,,user44@example.com,123,https://openai.com,,
45,Lina,foo@@bar,,htp:/bad,12,
